item,price_date,avg_price
DDR5 16Gb (2Gx8) 4800/5600,2025-11-18,24.833
DDR5 16Gb (2Gx8) eTT,2025-11-18,10.5
DDR3 4Gb 512Mx8 1600/1866,2025-11-19,3.534
DDR4 16Gb (2Gx8) 3200,2025-11-19,35.25
DDR4 16Gb (2Gx8) eTT,2025-11-19,8.1
DDR4 8Gb (1Gx8) 3200,2025-11-19,12.821
DDR4 8Gb (1Gx8) eTT,2025-11-19,4.227
DDR5 16Gb (2Gx8) 4800/5600,2025-11-19,24.833
DDR5 16Gb (2Gx8) eTT,2025-11-19,10.6
DDR3 4Gb 512Mx8 1600/1866,2025-11-21,3.58
DDR4 16Gb (2Gx8) 3200,2025-11-21,37.5
DDR4 16Gb (2Gx8) eTT,2025-11-21,8.475
DDR4 8Gb (1Gx8) 3200,2025-11-21,13.614
DDR4 8Gb (1Gx8) eTT,2025-11-21,4.35
DDR5 16Gb (2Gx8) 4800/5600,2025-11-21,25.1
DDR5 16Gb (2Gx8) eTT,2025-11-21,11.0
DDR3 4Gb 512Mx8 1600/1866,2025-11-24,3.581
DDR4 16Gb (2Gx8) 3200,2025-11-24,38.525
DDR4 16Gb (2Gx8) eTT,2025-11-24,8.65
DDR4 8Gb (1Gx8) 3200,2025-11-24,14.15
DDR4 8Gb (1Gx8) eTT,2025-11-24,4.45
DDR5 16Gb (2Gx8) 4800/5600,2025-11-24,25.767
DDR5 16Gb (2Gx8) eTT,2025-11-24,11.2
DDR3 4Gb 512Mx8 1600/1866,2025-11-26,3.581
DDR4 16Gb (2Gx8) 3200,2025-11-26,40.75
DDR4 16Gb (2Gx8) eTT,2025-11-26,9.075
DDR4 8Gb (1Gx8) 3200,2025-11-26,14.914
DDR4 8Gb (1Gx8) eTT,2025-11-26,4.592
DDR5 16Gb (2Gx8) 4800/5600,2025-11-26,26.833
DDR5 16Gb (2Gx8) eTT,2025-11-26,11.82
DDR3 4Gb 512Mx8 1600/1866,2025-11-27,3.584
DDR4 16Gb (2Gx8) 3200,2025-11-27,42.0
DDR4 16Gb (2Gx8) eTT,2025-11-27,9.3
DDR4 8Gb (1Gx8) 3200,2025-11-27,15.429
DDR4 8Gb (1Gx8) eTT,2025-11-27,4.631
DDR5 16Gb (2Gx8) 4800/5600,2025-11-27,27.167
DDR5 16Gb (2Gx8) eTT,2025-11-27,12.2
DDR3 4Gb 512Mx8 1600/1866,2025-11-28,3.584
DDR4 16Gb (2Gx8) 3200,2025-11-28,42.5
DDR4 16Gb (2Gx8) eTT,2025-11-28,9.4
DDR4 8Gb (1Gx8) 3200,2025-11-28,15.9
DDR4 8Gb (1Gx8) eTT,2025-11-28,4.692
DDR5 16Gb (2Gx8) 4800/5600,2025-11-28,27.167
DDR5 16Gb (2Gx8) eTT,2025-11-28,12.5
DDR3 4Gb 512Mx8 1600/1866,2025-12-01,3.584
DDR4 16Gb (2Gx8) 3200,2025-12-01,43.625
DDR4 16Gb (2Gx8) eTT,2025-12-01,9.5
DDR4 8Gb (1Gx8) 3200,2025-12-01,16.314
DDR4 8Gb (1Gx8) eTT,2025-12-01,4.708
DDR5 16Gb (2Gx8) 4800/5600,2025-12-01,27.2
DDR5 16Gb (2Gx8) eTT,2025-12-01,12.53
DDR3 4Gb 512Mx8 1600/1866,2025-12-02,3.584
DDR4 16Gb (2Gx8) 3200,2025-12-02,44.55
DDR4 16Gb (2Gx8) eTT,2025-12-02,9.65
DDR4 8Gb (1Gx8) 3200,2025-12-02,16.514
DDR4 8Gb (1Gx8) eTT,2025-12-02,4.717
DDR5 16Gb (2Gx8) 4800/5600,2025-12-02,27.2
DDR5 16Gb (2Gx8) eTT,2025-12-02,12.53
DDR3 4Gb 512Mx8 1600/1866,2026-01-02,4.023
DDR4 16Gb (2Gx8) 3200,2026-01-02,65.561
DDR4 16Gb (2Gx8) eTT,2026-01-02,12.25
DDR4 8Gb (1Gx8) 3200,2026-01-02,24.496
DDR4 8Gb (1Gx8) eTT,2026-01-02,5.836
DDR5 16Gb (2Gx8) 4800/5600,2026-01-02,29.803
DDR5 16Gb (2Gx8) eTT,2026-01-02,16.4
DDR3 4Gb 512Mx8 1600/1866,2026-01-05,4.045
DDR4 16Gb (2Gx8) 3200,2026-01-05,66.488
DDR4 16Gb (2Gx8) eTT,2026-01-05,12.3
DDR4 8Gb (1Gx8) 3200,2026-01-05,24.983
DDR4 8Gb (1Gx8) eTT,2026-01-05,5.857
DDR5 16Gb (2Gx8) 4800/5600,2026-01-05,30.544
DDR5 16Gb (2Gx8) eTT,2026-01-05,16.8
DDR3 4Gb 512Mx8 1600/1866,2026-01-06,4.068
DDR4 16Gb (2Gx8) 3200,2026-01-06,67.415
DDR4 16Gb (2Gx8) eTT,2026-01-06,12.4
DDR4 8Gb (1Gx8) 3200,2026-01-06,25.086
DDR4 8Gb (1Gx8) eTT,2026-01-06,5.9
DDR5 16Gb (2Gx8) 4800/5600,2026-01-06,31.074
DDR5 16Gb (2Gx8) eTT,2026-01-06,17.2
DDR3 4Gb 512Mx8 1600/1866,2026-01-07,4.091
DDR4 16Gb (2Gx8) 3200,2026-01-07,68.683
DDR4 16Gb (2Gx8) eTT,2026-01-07,12.4
DDR4 8Gb (1Gx8) 3200,2026-01-07,25.407
DDR4 8Gb (1Gx8) eTT,2026-01-07,5.929
DDR5 16Gb (2Gx8) 4800/5600,2026-01-07,31.475
DDR5 16Gb (2Gx8) eTT,2026-01-07,17.5
DDR3 4Gb 512Mx8 1600/1866,2026-01-08,4.091
DDR4 16Gb (2Gx8) 3200,2026-01-08,70.0
DDR4 16Gb (2Gx8) eTT,2026-01-08,12.4
DDR4 8Gb (1Gx8) 3200,2026-01-08,26.214
DDR4 8Gb (1Gx8) eTT,2026-01-08,5.929
DDR5 16Gb (2Gx8) 4800/5600,2026-01-08,31.656
DDR5 16Gb (2Gx8) eTT,2026-01-08,17.8
DDR3 4Gb 512Mx8 1600/1866,2026-01-09,4.175
DDR4 16Gb (2Gx8) 3200,2026-01-09,71.0
DDR4 16Gb (2Gx8) eTT,2026-01-09,12.5
DDR4 8Gb (1Gx8) 3200,2026-01-09,26.821
DDR4 8Gb (1Gx8) eTT,2026-01-09,5.929
DDR5 16Gb (2Gx8) 4800/5600,2026-01-09,31.781
DDR5 16Gb (2Gx8) eTT,2026-01-09,18.0
DDR3 4Gb 512Mx8 1600/1866,2026-01-13,4.32
DDR4 16Gb (2Gx8) 3200,2026-01-13,73.5
DDR4 16Gb (2Gx8) eTT,2026-01-13,12.5
DDR4 8Gb (1Gx8) 3200,2026-01-13,27.857
DDR4 8Gb (1Gx8) eTT,2026-01-13,5.943
DDR5 16Gb (2Gx8) 4800/5600,2026-01-13,33.406
DDR5 16Gb (2Gx8) eTT,2026-01-13,18.6
DDR3 4Gb 512Mx8 1600/1866,2026-01-14,4.389
DDR4 16Gb (2Gx8) 3200,2026-01-14,74.5
DDR4 16Gb (2Gx8) eTT,2026-01-14,12.5
DDR4 8Gb (1Gx8) 3200,2026-01-14,28.357
DDR4 8Gb (1Gx8) eTT,2026-01-14,5.943
DDR5 16Gb (2Gx8) 4800/5600,2026-01-14,34.075
DDR5 16Gb (2Gx8) eTT,2026-01-14,18.8
DDR3 4Gb 512Mx8 1600/1866,2026-01-15,4.491
DDR4 16Gb (2Gx8) 3200,2026-01-15,75.545
DDR4 16Gb (2Gx8) eTT,2026-01-15,12.575
DDR4 8Gb (1Gx8) 3200,2026-01-15,28.5
DDR4 8Gb (1Gx8) eTT,2026-01-15,5.943
DDR5 16Gb (2Gx8) 4800/5600,2026-01-15,34.5
DDR5 16Gb (2Gx8) eTT,2026-01-15,19.0
DDR3 4Gb 512Mx8 1600/1866,2026-01-16,4.564
DDR4 16Gb (2Gx8) 3200,2026-01-16,76.909
DDR4 16Gb (2Gx8) eTT,2026-01-16,12.575
DDR4 8Gb (1Gx8) 3200,2026-01-16,28.885
DDR4 8Gb (1Gx8) eTT,2026-01-16,5.943
DDR5 16Gb (2Gx8) 4800/5600,2026-01-16,35.0
DDR5 16Gb (2Gx8) eTT,2026-01-16,19.1
DDR3 4Gb 512Mx8 1600/1866,2026-01-20,4.75
DDR4 16Gb (2Gx8) 3200,2026-01-20,78.364
DDR4 16Gb (2Gx8) eTT,2026-01-20,12.575
DDR4 8Gb (1Gx8) 3200,2026-01-20,30.077
DDR4 8Gb (1Gx8) eTT,2026-01-20,5.943
DDR5 16Gb (2Gx8) 4800/5600,2026-01-20,36.333
DDR5 16Gb (2Gx8) eTT,2026-01-20,19.2
DDR3 4Gb 512Mx8 1600/1866,2026-01-21,4.889
DDR4 16Gb (2Gx8) 3200,2026-01-21,78.364
DDR4 16Gb (2Gx8) eTT,2026-01-21,12.7
DDR4 8Gb (1Gx8) 3200,2026-01-21,30.3
DDR4 8Gb (1Gx8) eTT,2026-01-21,5.986
DDR5 16Gb (2Gx8) 4800/5600,2026-01-21,36.667
DDR5 16Gb (2Gx8) eTT,2026-01-21,19.2
DDR3 4Gb 512Mx8 1600/1866,2026-01-22,4.945
DDR4 16Gb (2Gx8) 3200,2026-01-22,78.636
DDR4 16Gb (2Gx8) eTT,2026-01-22,12.7
DDR4 8Gb (1Gx8) 3200,2026-01-22,30.3
DDR4 8Gb (1Gx8) eTT,2026-01-22,6.029
DDR5 16Gb (2Gx8) 4800/5600,2026-01-22,36.667
DDR5 16Gb (2Gx8) eTT,2026-01-22,19.2
DDR3 4Gb 512Mx8 1600/1866,2026-01-23,5.025
DDR4 16Gb (2Gx8) 3200,2026-01-23,78.75
DDR4 16Gb (2Gx8) eTT,2026-01-23,12.775
DDR4 8Gb (1Gx8) 3200,2026-01-23,30.7
DDR4 8Gb (1Gx8) eTT,2026-01-23,6.029
DDR5 16Gb (2Gx8) 4800/5600,2026-01-23,36.667
DDR5 16Gb (2Gx8) eTT,2026-01-23,19.2
DDR3 4Gb 512Mx8 1600/1866,2026-01-26,5.148
DDR4 16Gb (2Gx8) 3200,2026-01-26,78.805
DDR4 16Gb (2Gx8) eTT,2026-01-26,12.8
DDR4 8Gb (1Gx8) 3200,2026-01-26,30.9
DDR4 8Gb (1Gx8) eTT,2026-01-26,6.029
DDR5 16Gb (2Gx8) 4800/5600,2026-01-26,36.667
DDR5 16Gb (2Gx8) eTT,2026-01-26,19.3
DDR3 4Gb 512Mx8 1600/1866,2026-01-27,5.17
DDR4 16Gb (2Gx8) 3200,2026-01-27,78.75
DDR4 16Gb (2Gx8) eTT,2026-01-27,12.8
DDR4 8Gb (1Gx8) 3200,2026-01-27,30.9
DDR4 8Gb (1Gx8) eTT,2026-01-27,6.029
DDR5 16Gb (2Gx8) 4800/5600,2026-01-27,36.6
DDR5 16Gb (2Gx8) eTT,2026-01-27,19.3
DDR3 4Gb 512Mx8 1600/1866,2026-01-28,5.209
DDR4 16Gb (2Gx8) 3200,2026-01-28,78.205
DDR4 16Gb (2Gx8) eTT,2026-01-28,12.8
DDR4 8Gb (1Gx8) 3200,2026-01-28,30.86
DDR4 8Gb (1Gx8) eTT,2026-01-28,6.189
DDR5 16Gb (2Gx8) 4800/5600,2026-01-28,36.6
DDR5 16Gb (2Gx8) eTT,2026-01-28,19.3
DDR3 4Gb 512Mx8 1600/1866,2026-01-29,5.332
DDR4 16Gb (2Gx8) 3200,2026-01-29,77.932
DDR4 16Gb (2Gx8) eTT,2026-01-29,12.8
DDR4 8Gb (1Gx8) 3200,2026-01-29,30.86
DDR4 8Gb (1Gx8) eTT,2026-01-29,6.314
DDR5 16Gb (2Gx8) 4800/5600,2026-01-29,36.533
DDR5 16Gb (2Gx8) eTT,2026-01-29,19.4
DDR3 4Gb 512Mx8 1600/1866,2026-02-02,5.4
DDR4 16Gb (2Gx8) 3200,2026-02-02,77.591
DDR4 16Gb (2Gx8) eTT,2026-02-02,13.0
DDR4 8Gb (1Gx8) 3200,2026-02-02,30.9
DDR4 8Gb (1Gx8) eTT,2026-02-02,6.571
DDR5 16Gb (2Gx8) 4800/5600,2026-02-02,38.167
DDR5 16Gb (2Gx8) eTT,2026-02-02,19.5
DDR3 4Gb 512Mx8 1600/1866,2026-02-04,5.468
DDR4 16Gb (2Gx8) 3200,2026-02-04,77.084
DDR4 16Gb (2Gx8) eTT,2026-02-04,13.125
DDR4 8Gb (1Gx8) 3200,2026-02-04,30.86
DDR4 8Gb (1Gx8) eTT,2026-02-04,6.636
DDR5 16Gb (2Gx8) 4800/5600,2026-02-04,37.967
DDR5 16Gb (2Gx8) eTT,2026-02-04,19.7
DDR3 4Gb 512Mx8 1600/1866,2026-02-05,5.48
DDR4 16Gb (2Gx8) 3200,2026-02-05,76.949
DDR4 16Gb (2Gx8) eTT,2026-02-05,13.125
DDR4 8Gb (1Gx8) 3200,2026-02-05,30.84
DDR4 8Gb (1Gx8) eTT,2026-02-05,6.655
DDR5 16Gb (2Gx8) 4800/5600,2026-02-05,37.933
DDR5 16Gb (2Gx8) eTT,2026-02-05,19.7
DDR3 4Gb 512Mx8 1600/1866,2026-02-09,5.507
DDR4 16Gb (2Gx8) 3200,2026-02-09,76.848
DDR4 16Gb (2Gx8) eTT,2026-02-09,13.175
DDR4 8Gb (1Gx8) 3200,2026-02-09,30.9
DDR4 8Gb (1Gx8) eTT,2026-02-09,6.655
DDR5 16Gb (2Gx8) 4800/5600,2026-02-09,37.833
DDR5 16Gb (2Gx8) eTT,2026-02-09,19.7
DDR3 4Gb 512Mx8 1600/1866,2026-02-10,5.507
DDR4 16Gb (2Gx8) 3200,2026-02-10,76.966
DDR4 16Gb (2Gx8) eTT,2026-02-10,13.175
DDR4 8Gb (1Gx8) 3200,2026-02-10,31.1
DDR4 8Gb (1Gx8) eTT,2026-02-10,6.655
DDR5 16Gb (2Gx8) 4800/5600,2026-02-10,38.0
DDR5 16Gb (2Gx8) eTT,2026-02-10,19.8
DDR3 4Gb 512Mx8 1600/1866,2026-02-11,5.523
DDR4 16Gb (2Gx8) 3200,2026-02-11,77.236
DDR4 16Gb (2Gx8) eTT,2026-02-11,13.25
DDR4 8Gb (1Gx8) 3200,2026-02-11,31.34
DDR4 8Gb (1Gx8) eTT,2026-02-11,6.655
DDR5 16Gb (2Gx8) 4800/5600,2026-02-11,38.033
DDR5 16Gb (2Gx8) eTT,2026-02-11,19.9
DDR3 4Gb 512Mx8 1600/1866,2026-04-27,8.175
DDR4 16Gb (2Gx8) 3200,2026-04-27,63.174
DDR4 16Gb (2Gx8) eTT,2026-04-27,13.075
DDR4 8Gb (1Gx8) 3200,2026-04-27,32.5
DDR4 8Gb (1Gx8) eTT,2026-04-27,6.0
DDR5 16Gb (2Gx8) 4800/5600,2026-04-27,38.433
DDR5 16Gb (2Gx8) eTT,2026-04-27,21.9
DDR3 4Gb 512Mx8 1600/1866,2026-04-28,8.225
DDR4 16Gb (2Gx8) 3200,2026-04-28,62.391
DDR4 16Gb (2Gx8) eTT,2026-04-28,13.075
DDR4 8Gb (1Gx8) 3200,2026-04-28,32.5
DDR4 8Gb (1Gx8) eTT,2026-04-28,5.94
DDR5 16Gb (2Gx8) 4800/5600,2026-04-28,38.667
DDR5 16Gb (2Gx8) eTT,2026-04-28,22.0
DDR3 4Gb 512Mx8 1600/1866,2026-04-29,8.3
DDR4 16Gb (2Gx8) 3200,2026-04-29,61.783
DDR4 16Gb (2Gx8) eTT,2026-04-29,13.075
DDR4 8Gb (1Gx8) 3200,2026-04-29,32.48
DDR4 8Gb (1Gx8) eTT,2026-04-29,5.9
DDR5 16Gb (2Gx8) 4800/5600,2026-04-29,38.667
DDR5 16Gb (2Gx8) eTT,2026-04-29,22.0
DDR3 4Gb 512Mx8 1600/1866,2026-04-30,8.375
DDR4 16Gb (2Gx8) 3200,2026-04-30,61.152
DDR4 16Gb (2Gx8) eTT,2026-04-30,13.075
DDR4 8Gb (1Gx8) 3200,2026-04-30,32.48
DDR4 8Gb (1Gx8) eTT,2026-04-30,5.82
DDR5 16Gb (2Gx8) 4800/5600,2026-04-30,39.0
DDR5 16Gb (2Gx8) eTT,2026-04-30,22.0
DDR3 4Gb 512Mx8 1600/1866,2026-05-04,8.45
DDR4 16Gb (2Gx8) 3200,2026-05-04,60.543
DDR4 16Gb (2Gx8) eTT,2026-05-04,13.0
DDR4 8Gb (1Gx8) 3200,2026-05-04,32.4
DDR4 8Gb (1Gx8) eTT,2026-05-04,5.76
DDR5 16Gb (2Gx8) 4800/5600,2026-05-04,38.833
DDR5 16Gb (2Gx8) eTT,2026-05-04,22.0
DDR3 4Gb 512Mx8 1600/1866,2026-05-05,8.475
DDR4 16Gb (2Gx8) 3200,2026-05-05,60.087
DDR4 16Gb (2Gx8) eTT,2026-05-05,13.0
DDR4 8Gb (1Gx8) 3200,2026-05-05,32.4
DDR4 8Gb (1Gx8) eTT,2026-05-05,5.71
DDR5 16Gb (2Gx8) 4800/5600,2026-05-05,38.833
DDR5 16Gb (2Gx8) eTT,2026-05-05,22.0
DDR3 4Gb 512Mx8 1600/1866,2026-05-06,8.525
DDR4 16Gb (2Gx8) 3200,2026-05-06,59.114
DDR4 16Gb (2Gx8) eTT,2026-05-06,12.875
DDR4 8Gb (1Gx8) 3200,2026-05-06,32.0
DDR4 8Gb (1Gx8) eTT,2026-05-06,5.58
DDR5 16Gb (2Gx8) 4800/5600,2026-05-06,38.833
DDR5 16Gb (2Gx8) eTT,2026-05-06,22.0
DDR3 4Gb 512Mx8 1600/1866,2026-05-07,8.625
DDR4 16Gb (2Gx8) 3200,2026-05-07,58.568
DDR4 16Gb (2Gx8) eTT,2026-05-07,12.75
DDR4 8Gb (1Gx8) 3200,2026-05-07,32.0
DDR4 8Gb (1Gx8) eTT,2026-05-07,5.48
DDR5 16Gb (2Gx8) 4800/5600,2026-05-07,39.0
DDR5 16Gb (2Gx8) eTT,2026-05-07,22.1
DDR3 4Gb 512Mx8 1600/1866,2026-05-08,8.725
DDR4 16Gb (2Gx8) 3200,2026-05-08,58.455
DDR4 16Gb (2Gx8) eTT,2026-05-08,12.6
DDR4 8Gb (1Gx8) 3200,2026-05-08,32.1
DDR4 8Gb (1Gx8) eTT,2026-05-08,5.368
DDR5 16Gb (2Gx8) 4800/5600,2026-05-08,39.833
DDR5 16Gb (2Gx8) eTT,2026-05-08,22.1
DDR3 4Gb 512Mx8 1600/1866,2026-05-11,8.775
DDR4 16Gb (2Gx8) 3200,2026-05-11,58.476
DDR4 16Gb (2Gx8) eTT,2026-05-11,12.525
DDR4 8Gb (1Gx8) 3200,2026-05-11,32.3
DDR4 8Gb (1Gx8) eTT,2026-05-11,5.271
DDR5 16Gb (2Gx8) 4800/5600,2026-05-11,40.2
DDR5 16Gb (2Gx8) eTT,2026-05-11,22.1
DDR3 4Gb 512Mx8 1600/1866,2026-05-12,8.875
DDR4 16Gb (2Gx8) 3200,2026-05-12,58.476
DDR4 16Gb (2Gx8) eTT,2026-05-12,12.525
DDR4 8Gb (1Gx8) 3200,2026-05-12,32.3
DDR4 8Gb (1Gx8) eTT,2026-05-12,5.157
DDR5 16Gb (2Gx8) 4800/5600,2026-05-12,40.267
DDR5 16Gb (2Gx8) eTT,2026-05-12,22.1
DDR3 4Gb 512Mx8 1600/1866,2026-05-13,8.95
DDR4 16Gb (2Gx8) 3200,2026-05-13,58.476
DDR4 16Gb (2Gx8) eTT,2026-05-13,12.525
DDR4 8Gb (1Gx8) 3200,2026-05-13,32.2
DDR4 8Gb (1Gx8) eTT,2026-05-13,5.093
DDR5 16Gb (2Gx8) 4800/5600,2026-05-13,40.367
DDR5 16Gb (2Gx8) eTT,2026-05-13,22.1
DDR3 4Gb 512Mx8 1600/1866,2026-05-14,8.963
DDR4 16Gb (2Gx8) 3200,2026-05-14,58.238
DDR4 16Gb (2Gx8) eTT,2026-05-14,12.45
DDR4 8Gb (1Gx8) 3200,2026-05-14,32.1
DDR4 8Gb (1Gx8) eTT,2026-05-14,5.05
DDR5 16Gb (2Gx8) 4800/5600,2026-05-14,40.367
DDR5 16Gb (2Gx8) eTT,2026-05-14,22.2
DDR3 4Gb 512Mx8 1600/1866,2026-05-15,8.988
DDR4 16Gb (2Gx8) 3200,2026-05-15,58.238
DDR4 16Gb (2Gx8) eTT,2026-05-15,12.45
DDR4 8Gb (1Gx8) 3200,2026-05-15,32.0
DDR4 8Gb (1Gx8) eTT,2026-05-15,5.007
DDR5 16Gb (2Gx8) 4800/5600,2026-05-15,40.767
DDR5 16Gb (2Gx8) eTT,2026-05-15,22.3
DDR3 4Gb 512Mx8 1600/1866,2026-05-18,8.988
DDR4 16Gb (2Gx8) 3200,2026-05-18,58.357
DDR4 16Gb (2Gx8) eTT,2026-05-18,12.375
DDR4 8Gb (1Gx8) 3200,2026-05-18,32.0
DDR4 8Gb (1Gx8) eTT,2026-05-18,4.95
DDR5 16Gb (2Gx8) 4800/5600,2026-05-18,41.267
DDR5 16Gb (2Gx8) eTT,2026-05-18,22.5
DDR3 4Gb 512Mx8 1600/1866,2026-05-19,8.988
DDR4 16Gb (2Gx8) 3200,2026-05-19,58.357
DDR4 16Gb (2Gx8) eTT,2026-05-19,12.375
DDR4 8Gb (1Gx8) 3200,2026-05-19,32.0
DDR4 8Gb (1Gx8) eTT,2026-05-19,4.907
DDR5 16Gb (2Gx8) 4800/5600,2026-05-19,41.1
DDR5 16Gb (2Gx8) eTT,2026-05-19,22.5
DDR3 4Gb 512Mx8 1600/1866,2026-05-20,9.038
DDR4 16Gb (2Gx8) 3200,2026-05-20,59.19
DDR4 16Gb (2Gx8) eTT,2026-05-20,12.375
DDR4 8Gb (1Gx8) 3200,2026-05-20,32.1
DDR4 8Gb (1Gx8) eTT,2026-05-20,4.907
DDR5 16Gb (2Gx8) 4800/5600,2026-05-20,40.833
DDR5 16Gb (2Gx8) eTT,2026-05-20,22.5
DDR3 4Gb 512Mx8 1600/1866,2026-05-21,9.088
DDR4 16Gb (2Gx8) 3200,2026-05-21,60.143
DDR4 16Gb (2Gx8) eTT,2026-05-21,12.35
DDR4 8Gb (1Gx8) 3200,2026-05-21,32.9
DDR4 8Gb (1Gx8) eTT,2026-05-21,4.864
DDR5 16Gb (2Gx8) 4800/5600,2026-05-21,41.167
DDR5 16Gb (2Gx8) eTT,2026-05-21,22.5
DDR3 4Gb 512Mx8 1600/1866,2026-05-22,9.163
DDR4 16Gb (2Gx8) 3200,2026-05-22,60.857
DDR4 16Gb (2Gx8) eTT,2026-05-22,12.35
DDR4 8Gb (1Gx8) 3200,2026-05-22,33.3
DDR4 8Gb (1Gx8) eTT,2026-05-22,4.864
DDR5 16Gb (2Gx8) 4800/5600,2026-05-22,41.5
DDR5 16Gb (2Gx8) eTT,2026-05-22,22.5
DDR3 4Gb 512Mx8 1600/1866,2026-05-25,9.163
DDR4 16Gb (2Gx8) 3200,2026-05-25,61.095
DDR4 16Gb (2Gx8) eTT,2026-05-25,12.35
DDR4 8Gb (1Gx8) 3200,2026-05-25,33.5
DDR4 8Gb (1Gx8) eTT,2026-05-25,4.864
DDR5 16Gb (2Gx8) 4800/5600,2026-05-25,41.667
DDR5 16Gb (2Gx8) eTT,2026-05-25,22.5
DDR3 4Gb 512Mx8 1600/1866,2026-05-26,9.213
DDR4 16Gb (2Gx8) 3200,2026-05-26,61.143
DDR4 16Gb (2Gx8) eTT,2026-05-26,12.35
DDR4 8Gb (1Gx8) 3200,2026-05-26,33.6
DDR4 8Gb (1Gx8) eTT,2026-05-26,4.864
DDR5 16Gb (2Gx8) 4800/5600,2026-05-26,41.667
